1 | ALFKI | Alfreds Futterkiste | Maria Anders | Sales Representative | Berlin |  | 12209 | Germany | 030-0074321 | 030-0076545                                                                                                                                                                                                                                                                                                                                                                                     
2 | ANATR | Ana Trujillo Emparedados y helados | Ana Trujillo | Owner | Mexico D.F. |  | 05021 | Mexico | (5) 555-4729 | (5) 555-3745                                                                                                                                                                                                                                                                                                                                                                               
3 | ANTON | Antonio Moreno Taqueria | Antonio Moreno | Owner | Mexico D.F. |  | 05023 | Mexico | (5) 555-3932 |                                                                                                                                                                                                                                                                                                                                                                                                     
4 | AROUT | Around the Horn | Thomas Hardy | Sales Representative | London |  | WA1 1DP | UK | (171) 555-7788 | (171) 555-6750                                                                                                                                                                                                                                                                                                                                                                                      
5 | BERGS | Berglunds snabbkop | Christina Berglund | Order Administrator | Lulea |  | S-958 22 | Sweden | 0921-12 34 65 | 0921-12 34 67                                                                                                                                                                                                                                                                                                                                                                            
6 | BLAUS | Blauer See Delikatessen | Hanna Moos | Sales Representative | Mannheim |  | 68306 | Germany | 0621-08460 | 0621-08924                                                                                                                                                                                                                                                                                                                                                                                   
7 | BLONP | Blondel pare et fils | Frederique Citeaux | Marketing Manager | Strasbourg |  | 67000 | France | 88.60.15.31 | 88.60.15.32                                                                                                                                                                                                                                                                                                                                                                              
8 | BOLID | Belido Comidas preparadas | Martin Sommer | Owner | Madrid |  | 28023 | Spain | (91) 555 22 82 | (91) 555 91 99                                                                                                                                                                                                                                                                                                                                                                                         
9 | BONAP | Bon app' | Laurence Lebihan | Owner | Marseille |  | 13008 | France | 91.24.45.40 | 91.24.45.41                                                                                                                                                                                                                                                                                                                                                                                                         
10 | BOTTM | Bottom-Dollar Markets | Elizabeth Lincoln | Accounting Manager | Tsawassen | BC | T2F 8M4 | Canada | (604) 555-4729 | (604) 555-3745                                                                                                                                                                                                                                                                                                                                                                   
11 | BSBEV | B's Beverages | Victoria Ashworth | Sales Representative | London |  | EC2 5NT | UK | (171) 555-1212 |                                                                                                                                                                                                                                                                                                                                                                                                 
12 | CACTU | Cactus Comidas para llevar | Patricio Simpson | Sales Agent | Buenos Aires |  | 1010 | Argentina | (1) 135-5555 | (1) 135-4892                                                                                                                                                                                                                                                                                                                                                                         
13 | CENTC | Centro comercial Moctezuma | Francisco Chang | Marketing Manager | Mexico D.F. |  | 05022 | Mexico | (5) 555-3392 | (5) 555-7293                                                                                                                                                                                                                                                                                                                                                                       
14 | CHOPS | Chop-suey Chinese | Yang Wang | Owner | Bern |  | 3012 | Switzerland | 0452-076545 |                                                                                                                                                                                                                                                                                                                                                                                                                   
15 | COMMI | Comercio Mineiro | Pedro Afonso | Sales Associate | Sao Paulo | SP | 05432-043 | Brazil | (11) 555-7647 |                                                                                                                                                                                                                                                                                                                                                                                              
16 | CONSH | Consolidated Holdings | Elizabeth Brown | Sales Representative | London |  | WX1 6LT | UK | (171) 555-2282 | (171) 555-9199                                                                                                                                                                                                                                                                                                                                                                            
17 | DRACD | Drachenblut Delikatessen | Sven Ottlieb | Order Administrator | Aachen |  | 52066 | Germany | 0241-039123 | 0241-059428                                                                                                                                                                                                                                                                                                                                                                                
18 | DUMON | Du monde entier | Janine Labrune | Owner | Nantes |  | 44000 | France | 40.67.88.88 | 40.67.89.89                                                                                                                                                                                                                                                                                                                                                                                                      
19 | EASTC | Eastern Connection | Ann Devon | Sales Agent | London |  | WX3 6FW | UK | (171) 555-0297 | (171) 555-3373                                                                                                                                                                                                                                                                                                                                                                                              
20 | ERNSH | Ernst Handel | Roland Mendel | Sales Manager | Graz |  | 8010 | Austria | 7675-3425 | 7675-3426                                                                                                                                                                                                                                                                                                                                                                                                        
21 | FAMIA | Familia Arquibaldo | Aria Cruz | Marketing Assistant | Sao Paulo | SP | 05442-030 | Brazil | (11) 555-9857 |                                                                                                                                                                                                                                                                                                                                                                                           
22 | FISSA | FISSA Fabrica Inter. Salchichas S.A. | Diego Roel | Accounting Manager | Madrid |  | 28034 | Spain | (91) 555 94 44 | (91) 555 55 93                                                                                                                                                                                                                                                                                                                                                                   
23 | FOLIG | Folies gourmandes | Martine Ranca | Assistant Sales Agent | Lille |  | 59000 | France | 20.16.10.16 | 20.16.10.17                                                                                                                                                                                                                                                                                                                                                                                      
24 | FOLKO | Folk och fa HB | Maria Larsson | Owner | Brocke |  | S-844 67 | Sweden | 0695-34 67 21 |                                                                                                                                                                                                                                                                                                                                                                                                               
25 | FRANK | Frankenversand | Peter Franken | Marketing Manager | Munchen |  | 80805 | Germany | 089-0877310 | 089-0877451                                                                                                                                                                                                                                                                                                                                                                                          
26 | FRANR | France restauration | Carine Schmitt | Marketing Manager | Nantes |  | 44000 | France | 40.32.21.21 | 40.32.21.20                                                                                                                                                                                                                                                                                                                                                                                      
27 | FRANS | Franchi S.p.A. | Paolo Accorti | Sales Representative | Torino |  | 10100 | Italy | 011-4988260 | 011-4988261                                                                                                                                                                                                                                                                                                                                                                                          
28 | FURIB | Furia Bacalhau e Frutos do Mar | Lino Rodriguez  | Sales Manager | Lisboa |  | 1675 | Portugal | (1) 354-2534 | (1) 354-2535                                                                                                                                                                                                                                                                                                                                                                           
29 | GALED | Galeria del gastronomo | Eduardo Saavedra | Marketing Manager | Barcelona |  | 08022 | Spain | (93) 203 4560 | (93) 203 4561                                                                                                                                                                                                                                                                                                                                                                           
30 | GODOS | Godos Cocina Topica | Jose Pedro Freyre | Sales Manager | Sevilla |  | 41101 | Spain | (95) 555 82 82 |                                                                                                                                                                                                                                                                                                                                                                                                
31 | GOURL | Gourmet Lanchonetes | Andre Fonseca | Sales Associate | Campinas | SP | 04876-786 | Brazil | (11) 555-9482 |                                                                                                                                                                                                                                                                                                                                                                                           
32 | GREAL | Great Lakes Food Market | Howard Snyder | Marketing Manager | Eugene | OR | 97403 | USA | (503) 555-7555 |                                                                                                                                                                                                                                                                                                                                                                                             
33 | GROSR | GROSELLA-Restaurante | Manuel Pereira | Owner | Caracas | DF | 1081 | Venezuela | (2) 283-2951 | (2) 283-3397                                                                                                                                                                                                                                                                                                                                                                                          
34 | HANAR | Hanari Carnes | Mario Pontes | Accounting Manager | Rio de Janeiro | RJ | 05454-876 | Brazil | (21) 555-0091 | (21) 555-8765                                                                                                                                                                                                                                                                                                                                                                           
35 | HILAA | HILARIAN-Abastos | Carlos Hernandez | Sales Representative | San Cristobal | Tachira | 5022 | Venezuela | (5) 555-1340 | (5) 555-1948                                                                                                                                                                                                                                                                                                                                                                  
36 | HUNGC | Hungry Coyote Import Store | Yoshi Latimer | Sales Representative | Elgin | OR | 97827 | USA | (503) 555-6874 | (503) 555-2376                                                                                                                                                                                                                                                                                                                                                                         
37 | HUNGO | Hungry Owl All-Night Grocers | Patricia McKenna | Sales Associate | Cork | Co. Cork |  | Ireland | 2967 542 | 2967 3333                                                                                                                                                                                                                                                                                                                                                                                
38 | ISLAT | Island Trading | Helen Bennett | Marketing Manager | Cowes | Isle of Wight | PO31 7PJ | UK | (198) 555-8888 |                                                                                                                                                                                                                                                                                                                                                                                          
39 | KOENE | Koniglich Essen | Philip Cramer | Sales Associate | Brandenburg |  | 14776 | Germany | 0555-09876 |                                                                                                                                                                                                                                                                                                                                                                                                    
40 | LACOR | La corne d'abondance | Daniel Tonini | Sales Representative | Versailles |  | 78000 | France | 30.59.84.10 | 30.59.85.11                                                                                                                                                                                                                                                                                                                                                                               
41 | LAMAI | La maison d'Asie | Annette Roulet | Sales Manager | Toulouse |  | 31000 | France | 61.77.61.10 | 61.77.61.11                                                                                                                                                                                                                                                                                                                                                                                           
42 | LAUGB | Laughing Bacchus Wine Cellars | Yoshi Tannamuri | Marketing Assistant | Vancouver | BC | V3F 2K1 | Canada | (604) 555-3392 | (604) 555-7293                                                                                                                                                                                                                                                                                                                                                            
43 | LAZYK | Lazy K Kountry Store | John Steel | Marketing Manager | Walla Walla | WA | 99362 | USA | (509) 555-7969 | (509) 555-6221                                                                                                                                                                                                                                                                                                                                                                               
44 | LEHMS | Lehmanns Marktstand | Renate Messner | Sales Representative | Frankfurt a.M.  |  | 60528 | Germany | 069-0245984 | 069-0245874                                                                                                                                                                                                                                                                                                                                                                         
